id,tree,target,Cre,source_area,L2/3,L4,L5,L6a,L6b
62,1,CP_3,Tac1,PL,0.00507983,NA,0.927360842,0.067558168,1.16E-06
94,1,CP_4,Tac1,ACAd,0.054380669,NA,0.83688885,0.107046407,0.001684074
141,1,CP_7,Penk,ACAv,0.089400695,NA,0.766203333,0.137639189,0.006756783
204,1,SNr,Foxp2,AIp,1.50E-04,NA,0.931234601,0.068615818,0
79,1,CP_4,Penk,ACAd,0.012311002,NA,0.908700591,0.078851192,1.37E-04
122,1,CP_6,Gnb4,ACAd,0.021542331,NA,0.892083633,0.086368128,5.91E-06
92,1,CP_4,Penk,RSPd,0.032608924,0,0.81844447,0.148946606,0
51,1,CP_2,Pvalb,MOp,0.023036179,NA,0.842835886,0.134043681,8.43E-05
41,1,CP_1,Gad2,RSPv,0.038123266,NA,0.811701621,0.146914483,0.00326063
93,1,CP_4,Penk,RSPv,0.065360357,NA,0.771561054,0.162919406,1.59E-04
137,1,CP_6,Gnb4,RSPd,0.051827403,0,0.802461961,0.142123121,0.003587515
219,1,SNr,Slc32a1,ORBm,0.00958786,NA,0.866535847,0.116725513,0.00715078
60,1,CP_3,Tac1,ORBl,0.063346099,NA,0.795903244,0.136704811,0.004045846
63,1,CP_3,Tac1,RSPagl,0.007693859,NA,0.892214071,0.100092069,0
212,1,SNr,Slc32a1,ACAd,5.95E-04,NA,0.90510464,0.093304929,9.96E-04
58,1,CP_3,Tac1,MOp,0.077418578,NA,0.768699379,0.153003487,8.79E-04
145,1,CP_7,Penk,ORBl,0.163284744,NA,0.599336894,0.212934349,0.024444013
136,1,CP_6,Gnb4,RSPagl,0.003862426,NA,0.878310327,0.101806906,0.016020342
185,1,OT_9,Penk,ILA,0.018151344,NA,0.868158193,0.113090119,6.00E-04
224,1,SNr,Slc32a1,RSPv,0.001017007,NA,0.470994083,0.517548799,0.010440111
210,1,SNr,Pvalb,MOp,9.57E-04,NA,0.640321248,0.354287266,0.004434363
213,1,SNr,Slc32a1,ACAv,0.014399553,NA,0.635787287,0.345951138,0.003862021
205,1,SNr,Foxp2,MOp,0.002207883,NA,0.679467615,0.317250137,0.001074365
150,1,CP_7,Penk,RSPd,0.055003472,0,0.631837527,0.312265196,8.94E-04
211,1,SNr,Pvalb,MOs,0.003850341,NA,0.691002008,0.303515352,0.001632299
121,1,CP_5,Gad2,RSPv,0.041897424,NA,0.669739828,0.259911526,0.028451222
151,1,CP_7,Penk,RSPv,0.055658737,NA,0.664813514,0.27355215,0.005975599
216,1,SNr,Slc32a1,MOp,0.004223431,NA,0.699400537,0.29062353,0.005752502
223,1,SNr,Slc32a1,RSPd,9.69E-05,0,0.716955457,0.282947625,0
206,1,SNr,Foxp2,MOs,0.008039917,NA,0.711242661,0.280321119,3.96E-04
214,1,SNr,Slc32a1,AId,0.002550931,NA,0.708336678,0.277224464,0.011887927
144,2,CP_7,Penk,MOs,0.236835056,NA,0.652939683,0.106615501,0.003609761
147,2,CP_7,Penk,ORBvl,0.204800184,NA,0.727217603,0.066609932,0.001372281
82,2,CP_4,Penk,AIv,0.183357479,NA,0.789225836,0.026860365,5.56E-04
190,2,OT_9,Penk,ORBvl,0.211983044,NA,0.701085449,0.085387399,0.001544108
10,2,ACB,Penk,ORBl,0.203125404,NA,0.724391984,0.061744295,0.010738316
34,2,CP_1,Gad2,ORBl,0.241215355,NA,0.61504823,0.135090759,0.008645656
109,2,CP_5,Gad2,AIv,0.184721906,NA,0.801268519,0.013374594,6.35E-04
27,2,CP_1,Gad2,AId,0.206915017,NA,0.66850616,0.120047749,0.004531074
184,2,OT_9,Penk,FRP,0.15198059,NA,0.823176657,0.024813786,2.90E-05
35,2,CP_1,Gad2,ORBm,0.159463468,NA,0.789325029,0.0479696,0.003241903
124,2,CP_6,Gnb4,AId,0.165737826,NA,0.777958546,0.055439825,8.64E-04
15,2,ACB,Sst,AId,0.183110697,NA,0.744432645,0.067812781,0.004643877
166,2,CP_8,Tac1,PL,0.173892729,NA,0.777106409,0.048144968,8.56E-04
19,2,ACB,Sst,ORBm,0.169503203,NA,0.801194879,0.028301989,1.00E-03
65,2,CP_4,Gad2,AId,0.193398088,NA,0.730266608,0.074901703,0.0014336
33,2,CP_1,Gad2,MOs,0.182377056,NA,0.761339198,0.055452737,8.31E-04
77,2,CP_4,Gnb4,MOp,0.161624454,NA,0.819863518,0.017989942,5.22E-04
3,2,ACB,Penk,AId,0.232638948,NA,0.732558874,0.032338738,0.00246344
95,2,CP_4,Tac1,AId,0.247332005,NA,0.67522255,0.074636104,0.00280934
7,2,ACB,Penk,FRP,0.227524826,NA,0.763266381,0.009176092,3.27E-05
71,2,CP_4,Gad2,MOs,0.246264916,NA,0.689684134,0.063549619,5.01E-04
126,2,CP_6,Gnb4,AIv,0.230790922,NA,0.753400208,0.014905466,9.03E-04
108,2,CP_5,Gad2,AIp,0.219003732,NA,0.743833172,0.036003706,0.001159389
189,2,OT_9,Penk,ORBm,0.233339057,NA,0.716681019,0.049587611,3.92E-04
9,2,ACB,Penk,MOs,0.213334431,NA,0.775949129,0.01071644,0
67,2,CP_4,Gad2,AIv,0.224850055,NA,0.732271844,0.041388597,0.001489503
44,2,CP_2,Gad2,AIp,0.221225355,NA,0.751810608,0.026908616,5.54E-05
73,2,CP_4,Gad2,PERI,0.227767254,NA,0.73021477,0.042017977,0
96,2,CP_4,Tac1,AIp,0.258891644,NA,0.648004619,0.080327327,0.01277641
101,2,CP_4,Tac1,MOs,0.257652748,NA,0.693306684,0.048270164,7.70E-04
66,2,CP_4,Gad2,AIp,0.275774145,NA,0.643822844,0.075160273,0.005242738
89,2,CP_4,Penk,PERI,0.269997334,NA,0.679070042,0.050932625,1.18E-19
29,2,CP_1,Gad2,AIv,0.26265958,NA,0.701389196,0.034715561,0.001235663
76,2,CP_4,Gnb4,AIp,0.25587924,NA,0.718653095,0.019771549,0.005696116
86,2,CP_4,Penk,MOs,0.261241814,NA,0.700032934,0.038287159,4.38E-04
36,2,CP_1,Gad2,ORBvl,0.287078632,NA,0.635243934,0.074973847,0.002703586
117,2,CP_5,Gad2,PERI,0.280425799,NA,0.684541252,0.035032949,0
125,2,CP_6,Gnb4,AIp,0.276945963,NA,0.660398419,0.052163039,0.010492579
138,2,CP_6,Penk,ECT,0.29551459,NA,0.564304903,0.139731958,4.49E-04
23,2,ACB,Tac1,ORBm,0.292755369,NA,0.684785161,0.02242601,3.35E-05
182,2,OT_9,Penk,AIv,0.286575889,NA,0.686827503,0.025780233,8.16E-04
11,2,ACB,Penk,ORBm,0.407154721,NA,0.56785839,0.024634826,3.52E-04
191,2,OT_9,Penk,PERI,0.406589142,NA,0.539599527,0.053811331,0
164,2,CP_8,Tac1,ORBm,0.444687913,NA,0.518188265,0.034154534,0.002969288
6,2,ACB,Penk,ECT,0.419309448,NA,0.512372031,0.068316817,1.70E-06
81,2,CP_4,Penk,AIp,0.416183525,NA,0.526739174,0.052756853,0.004320448
28,2,CP_1,Gad2,AIp,0.304727202,NA,0.671886794,0.023386004,0
127,2,CP_6,Gnb4,ECT,0.310565295,NA,0.58874321,0.100161077,5.30E-04
180,2,OT_9,Penk,AId,0.310449928,NA,0.624864759,0.059778226,0.004907087
110,2,CP_5,Gad2,ECT,0.317828073,NA,0.59494075,0.087187025,4.42E-05
13,2,ACB,Penk,PERI,0.312403543,NA,0.656382703,0.030988882,2.25E-04
37,2,CP_1,Gad2,PERI,0.312359356,NA,0.660867673,0.026772971,0
80,2,CP_4,Penk,AId,0.334111418,NA,0.5967146,0.067054226,0.002119757
100,2,CP_4,Tac1,MOp,0.335918226,NA,0.592586534,0.067075106,0.004420134
17,2,ACB,Sst,ECT,0.329026859,NA,0.6386646,0.032308475,6.66E-08
134,2,CP_6,Gnb4,PERI,0.321613514,NA,0.662399522,0.015952305,3.47E-05
16,2,ACB,Sst,AIv,0.371271374,NA,0.59003107,0.037971498,7.26E-04
5,2,ACB,Penk,AIv,0.385678938,NA,0.59992963,0.013743261,6.48E-04
85,2,CP_4,Penk,MOp,0.37330605,NA,0.565947351,0.058016583,0.002730016
181,2,OT_9,Penk,AIp,0.377631176,NA,0.593421494,0.028913656,3.37E-05
21,2,ACB,Tac1,AIv,0.360227334,NA,0.596238184,0.043532901,1.58E-06
155,2,CP_8,Penk,ECT,0.346960677,NA,0.620181159,0.032858164,0
157,2,CP_8,Penk,ORBm,0.352911637,NA,0.632306497,0.014434043,3.48E-04
55,2,CP_3,Tac1,AIp,0.355734715,NA,0.643868057,4.93E-05,3.48E-04
70,2,CP_4,Gad2,MOp,0.350729564,NA,0.582157426,0.065978676,0.001134335
109,3,CP_5,Gad2,SSp-un,0.014897022,0.346550191,0.455383672,0.160709189,0.022459926
87,3,CP_4,Tac1,AUDp,0.046088545,0.354914231,0.581016562,0.017980627,3.51E-08
132,3,CP_6,Gnb4,SSp-ul,0.026017099,0.35571498,0.578362442,0.037228926,0.002676553
128,3,CP_6,Gnb4,SSp-ll,0.007342801,0.381361693,0.54091219,0.067402774,0.002980542
133,3,CP_6,Gnb4,SSp-un,0.026158036,0.412265025,0.513250049,0.038924081,0.00940281
49,3,CP_4,Gad2,AUDp,0.1266845,0.262113536,0.578632043,0.032569922,0
3,3,ACB,Penk,TEa,0.121313497,0.304326952,0.560212197,0.014147354,8.11E-20
102,3,CP_5,Gad2,AUDv,0.11601629,0.286121099,0.587291678,0.010206879,3.64E-04
38,3,CP_3,Tac1,AUDd,0.022033021,0.314025359,0.661661393,0.002280226,0
76,3,CP_4,Penk,SSp-un,0.059276392,0.307818161,0.579344704,0.049025562,0.004535181
70,3,CP_4,Penk,SSp-bfd,0.067097218,0.322336308,0.576154181,0.031937347,0.002474946
142,3,CP_6,Gnb4,VISrl,0.031564619,0.329667023,0.615842287,0.016304901,0.006621169
173,3,CP_8,Penk,TEa,0.083178905,0.287612651,0.621003873,0.008204571,0
100,3,CP_5,Gad2,AUDp,0.035572201,0.296748274,0.658466745,0.008496317,7.16E-04
175,3,CP_8,Tac1,TEa,0.050830671,0.289669115,0.656328532,0.003171682,0
1,3,ACB,Penk,GU,0.103580109,0.2812298,0.479626382,0.133688592,0.001875117
129,3,CP_6,Gnb4,SSp-m,0.020028158,0.292722484,0.605423121,0.075391966,0.006434271
127,3,CP_6,Gnb4,SSp-bfd,0.039151701,0.308207588,0.53453535,0.097373434,0.020731927
131,3,CP_6,Gnb4,SSp-tr,0.01977687,0.323345773,0.577459819,0.070578253,0.008839286
101,3,CP_5,Gad2,AUDpo,0.033176,0.271064392,0.681757833,0.013559518,4.42E-04
176,3,OT_9,Penk,SSp-bfd,0.016183894,0.265072289,0.698522586,0.020221231,0
75,3,CP_4,Penk,SSp-ul,0.019043938,0.263294697,0.680619918,0.033199753,0.003841695
93,3,CP_4,Tac1,SSp-n,0.013015202,0.261848273,0.697238055,0.022628467,0.005270003
151,3,CP_6,Sst,AUDp,0.054055919,0.229409013,0.710646758,0.00588831,0
67,3,CP_4,Penk,AUDp,0.047957266,0.24851142,0.69194621,0.007012281,0.004572823
114,3,CP_5,Gad2,VISal,0.030449113,0.241974812,0.716349051,0.010667749,5.59E-04
121,3,CP_5,Gad2,VISrl,0.035876726,0.252833378,0.692259509,0.016729629,0.002300757
130,3,CP_6,Gnb4,SSp-n,0.015143424,0.262302193,0.596780729,0.108376015,0.017397638
62,3,CP_4,Gnb4,SSp-n,0.034538215,0.21729001,0.61198459,0.119311354,0.016875831
91,3,CP_4,Tac1,SSp-ll,0.003461463,0.223982764,0.71223516,0.059372571,9.48E-04
94,3,CP_4,Tac1,SSp-ul,0.014670514,0.214665665,0.732424016,0.03619427,0.002045535
53,3,CP_4,Gad2,SSp-m,0.185523447,0.40615485,0.365667004,0.041147061,0.001507638
64,3,CP_4,Gnb4,SSs,0.194879826,0.476212644,0.312871816,0.014311668,0.001724047
99,3,CP_5,Gad2,AUDd,0.104473136,0.403672033,0.470776228,0.019606173,0.001472431
61,3,CP_4,Gnb4,SSp-m,0.043802464,0.439187163,0.509296098,0.007187771,5.27E-04
92,3,CP_4,Tac1,SSp-m,0.109011951,0.382906738,0.402929878,0.091500545,0.013650887
103,3,CP_5,Gad2,SSp-bfd,0.044771466,0.458889132,0.427770969,0.058643404,0.009925029
72,3,CP_4,Penk,SSp-m,0.11948908,0.434778189,0.386077915,0.05285981,0.006795007
110,3,CP_5,Gad2,SSs,0.114912709,0.451052165,0.380357991,0.05021052,0.003466614
57,3,CP_4,Gad2,SSs,0.318195765,0.312201627,0.3230316,0.043685157,0.002885852
60,3,CP_4,Gnb4,GU,0.275458825,0.301884126,0.404349162,0.011122516,0.00718537
77,3,CP_4,Penk,SSs,0.219630596,0.319152521,0.39579281,0.061091555,0.004332518
